video_id,total_examples,valid_answers,invalid_answers,empty_answers,overall_accuracy,valid_only_accuracy,support_label_0,precision_label_0,recall_label_0,f1_label_0,support_label_1,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video89,192,192,0,0,0.7916666666666666,0.7916666666666666,100,0.8409090909090909,0.74,0.7872340425531915,92,0.75,0.8478260869565217,0.7959183673469389,74,26,14,78
Video90,192,192,0,0,0.78125,0.78125,105,0.7889908256880734,0.819047619047619,0.8037383177570094,87,0.7710843373493976,0.735632183908046,0.7529411764705882,86,19,23,64
Video91,192,192,0,0,0.8229166666666666,0.8229166666666666,106,0.8461538461538461,0.8301886792452831,0.8380952380952382,86,0.7954545454545454,0.813953488372093,0.8045977011494252,88,18,16,70
Video92,192,192,0,0,0.8385416666666666,0.8385416666666666,103,0.9,0.7864077669902912,0.8393782383419689,89,0.7843137254901961,0.898876404494382,0.837696335078534,81,22,9,80
Video93,192,192,0,0,0.8125,0.8125,104,0.8207547169811321,0.8365384615384616,0.8285714285714286,88,0.8023255813953488,0.7840909090909091,0.7931034482758621,87,17,19,69
Video94,192,192,0,0,0.828125,0.828125,96,0.8620689655172413,0.78125,0.8196721311475409,96,0.8,0.875,0.8358208955223881,75,21,12,84
Video95,192,192,0,0,0.8541666666666666,0.8541666666666666,94,0.8586956521739131,0.8404255319148937,0.849462365591398,98,0.85,0.8673469387755102,0.8585858585858585,79,15,13,85
Video96,192,192,0,0,0.78125,0.78125,94,0.7708333333333334,0.7872340425531915,0.7789473684210526,98,0.7916666666666666,0.7755102040816326,0.7835051546391752,74,20,22,76
Video97,192,192,0,0,0.8020833333333334,0.8020833333333334,90,0.7653061224489796,0.8333333333333334,0.7978723404255319,102,0.8404255319148937,0.7745098039215687,0.806122448979592,75,15,23,79
Video98,192,192,0,0,0.8072916666666666,0.8072916666666666,101,0.872093023255814,0.7425742574257426,0.8021390374331551,91,0.7547169811320755,0.8791208791208791,0.8121827411167513,75,26,11,80
Video99,192,192,0,0,0.828125,0.828125,90,0.8433734939759037,0.7777777777777778,0.8092485549132947,102,0.8165137614678899,0.8725490196078431,0.8436018957345972,70,20,13,89
Video100,192,192,0,0,0.7291666666666666,0.7291666666666666,98,0.7129629629629629,0.7857142857142857,0.7475728155339806,94,0.75,0.6702127659574468,0.7078651685393258,77,21,31,63
