video_id,sample_count,valid_prediction_count,invalid_prediction_count,invalid_prediction_rate,overall_accuracy,valid_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_negative,false_positive,false_negative,true_positive
Video87,192,192,0,0.0,0.6666666666666666,0.6666666666666666,0.6947368421052632,0.6534653465346535,0.6734693877551021,0.6391752577319587,0.6813186813186813,0.6595744680851064,66,35,29,62
Video88,192,192,0,0.0,0.6510416666666666,0.6510416666666666,0.6764705882352942,0.6699029126213593,0.6731707317073171,0.6222222222222222,0.6292134831460674,0.6256983240223464,69,34,33,56
Video89,192,192,0,0.0,0.6927083333333334,0.6927083333333334,0.6880733944954128,0.75,0.7177033492822965,0.6987951807228916,0.6304347826086957,0.6628571428571429,75,25,34,58
Video90,192,192,0,0.0,0.7604166666666666,0.7604166666666666,0.7565217391304347,0.8285714285714286,0.7909090909090909,0.7662337662337663,0.6781609195402298,0.7195121951219511,87,18,28,59
Video91,192,192,0,0.0,0.671875,0.671875,0.6869565217391305,0.7452830188679245,0.7149321266968325,0.6493506493506493,0.5813953488372093,0.6134969325153374,79,27,36,50
Video92,192,192,0,0.0,0.6510416666666666,0.6510416666666666,0.6730769230769231,0.6796116504854369,0.676328502415459,0.625,0.6179775280898876,0.6214689265536723,70,33,34,55
Video93,192,192,0,0.0,0.765625,0.765625,0.7864077669902912,0.7788461538461539,0.782608695652174,0.7415730337078652,0.75,0.7457627118644068,81,23,22,66
Video94,192,192,0,0.0,0.671875,0.671875,0.6633663366336634,0.6979166666666666,0.6802030456852792,0.6813186813186813,0.6458333333333334,0.663101604278075,67,29,34,62
Video95,192,192,0,0.0,0.734375,0.734375,0.7087378640776699,0.776595744680851,0.7411167512690355,0.7640449438202247,0.6938775510204082,0.7272727272727273,73,21,30,68
Video96,192,192,0,0.0,0.609375,0.609375,0.5871559633027523,0.6808510638297872,0.6305418719211823,0.6385542168674698,0.5408163265306123,0.5856353591160222,64,30,45,53
