video_id,total_examples,valid_answers,invalid_answers,empty_answers,correct_answers,overall_accuracy,valid_only_accuracy,precision_label_0,recall_label_0,f1_label_0,precision_label_1,recall_label_1,f1_label_1,true_0_pred_0,true_0_pred_1,true_1_pred_0,true_1_pred_1
Video35,192,192,0,0,151,0.7864583333333334,0.7864583333333334,0.8028169014084507,0.6785714285714286,0.735483870967742,0.7768595041322314,0.8703703703703703,0.8209606986899564,57,27,14,94
Video36,192,192,0,0,147,0.765625,0.765625,0.8235294117647058,0.7,0.7567567567567567,0.719626168224299,0.8369565217391305,0.7738693467336683,70,30,15,77
Video37,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8125,0.7959183673469388,0.8041237113402061,0.7916666666666666,0.8085106382978723,0.7999999999999999,78,20,18,76
Video38,192,192,0,0,148,0.7708333333333334,0.7708333333333334,0.7325581395348837,0.75,0.7411764705882353,0.8018867924528302,0.7870370370370371,0.794392523364486,63,21,23,85
Video39,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8260869565217391,0.7755102040816326,0.8,0.78,0.8297872340425532,0.8041237113402062,76,22,16,78
Video40,192,192,0,0,154,0.8020833333333334,0.8020833333333334,0.8850574712643678,0.7333333333333333,0.8020833333333334,0.7333333333333333,0.8850574712643678,0.8020833333333334,77,28,10,77
Video41,192,192,0,0,148,0.7708333333333334,0.7708333333333334,0.7848101265822784,0.6966292134831461,0.738095238095238,0.7610619469026548,0.8349514563106796,0.7962962962962963,62,27,17,86
Video42,192,192,0,0,147,0.765625,0.765625,0.863013698630137,0.6428571428571429,0.7368421052631579,0.7058823529411765,0.8936170212765957,0.7887323943661972,63,35,10,84
Video43,192,192,0,0,158,0.8229166666666666,0.8229166666666666,0.8969072164948454,0.7837837837837838,0.8365384615384617,0.7473684210526316,0.8765432098765432,0.8068181818181818,87,24,10,71
Video44,192,192,0,0,168,0.875,0.875,0.865979381443299,0.8842105263157894,0.8749999999999999,0.8842105263157894,0.865979381443299,0.8749999999999999,84,11,13,84
Video45,192,192,0,0,157,0.8177083333333334,0.8177083333333334,0.8252427184466019,0.8333333333333334,0.8292682926829268,0.8089887640449438,0.8,0.8044692737430168,85,17,18,72
Video46,192,192,0,0,147,0.765625,0.765625,0.7872340425531915,0.7474747474747475,0.766839378238342,0.7448979591836735,0.7849462365591398,0.7643979057591623,74,25,20,73
Video47,192,192,0,0,144,0.75,0.75,0.7647058823529411,0.6989247311827957,0.7303370786516853,0.7383177570093458,0.797979797979798,0.766990291262136,65,28,20,79
Video48,192,192,0,0,145,0.7552083333333334,0.7552083333333334,0.7272727272727273,0.735632183908046,0.7314285714285715,0.7788461538461539,0.7714285714285715,0.7751196172248804,64,23,24,81
Video49,192,192,0,0,161,0.8385416666666666,0.8385416666666666,0.8352941176470589,0.8068181818181818,0.8208092485549133,0.8411214953271028,0.8653846153846154,0.8530805687203792,71,17,14,90
Video50,192,192,0,0,170,0.8854166666666666,0.8854166666666666,0.875,0.875,0.875,0.8942307692307693,0.8942307692307693,0.8942307692307693,77,11,11,93
