video_id,n_samples,valid_free_predictions,invalid_free_predictions,empty_raw_outputs,free_output_accuracy,free_output_valid_accuracy,score_based_accuracy,free_label_0_precision,free_label_0_recall,free_label_0_f1,free_label_1_precision,free_label_1_recall,free_label_1_f1,score_label_0_precision,score_label_0_recall,score_label_0_f1,score_label_1_precision,score_label_1_recall,score_label_1_f1,avg_choice_0_score,avg_choice_1_score,avg_confidence,avg_score_gap,free_vs_score_agreement_rate,free_actual_0_pred_0,free_actual_0_pred_1,free_actual_1_pred_0,free_actual_1_pred_1,score_actual_0_pred_0,score_actual_0_pred_1,score_actual_1_pred_0,score_actual_1_pred_1
Video31,192,192,0,0,0.6510416666666666,0.6510416666666666,0.6145833333333334,0.6037735849056604,0.7191011235955056,0.6564102564102565,0.7093023255813954,0.5922330097087378,0.6455026455026455,0.5949367088607594,0.5280898876404494,0.5595238095238095,0.6283185840707964,0.6893203883495146,0.6574074074074074,0.4238163698065023,0.5761836400091246,0.7509573291366299,0.501914648457633,0.6927083333333334,64,25,42,61,47,42,32,71
Video32,192,192,0,0,0.7135416666666666,0.7135416666666666,0.5416666666666666,0.6666666666666666,0.8297872340425532,0.7393364928909951,0.7866666666666666,0.6020408163265306,0.6820809248554913,0.5405405405405406,0.425531914893617,0.4761904761904763,0.5423728813559322,0.6530612244897959,0.5925925925925926,0.410447927500248,0.5895520811512446,0.7708947885160645,0.5417895683806364,0.671875,78,16,39,59,40,54,34,64
Video33,192,192,0,0,0.7552083333333334,0.7552083333333334,0.6145833333333334,0.7169811320754716,0.8172043010752689,0.7638190954773869,0.8023255813953488,0.696969696969697,0.745945945945946,0.6461538461538462,0.45161290322580644,0.5316455696202531,0.5984251968503937,0.7676767676767676,0.672566371681416,0.3903114010929585,0.609688610995363,0.7600843692198396,0.5201687263513577,0.6197916666666666,76,17,30,69,42,51,23,76
Video34,192,192,0,0,0.6614583333333334,0.6614583333333334,0.5572916666666666,0.6261682242990654,0.7282608695652174,0.6733668341708543,0.7058823529411765,0.6,0.6486486486486486,0.5507246376811594,0.41304347826086957,0.47204968944099374,0.5609756097560976,0.69,0.6188340807174888,0.40289498633071236,0.5971050183188709,0.7525717650229732,0.5051435253963632,0.6354166666666666,67,25,40,60,38,54,31,69
Video35,192,192,0,0,0.6822916666666666,0.6822916666666666,0.5677083333333334,0.6095238095238096,0.7619047619047619,0.6772486772486773,0.7701149425287356,0.6203703703703703,0.6871794871794871,0.5074626865671642,0.40476190476190477,0.4503311258278146,0.6,0.6944444444444444,0.6437768240343348,0.39282193126505643,0.6071780784307824,0.7622709715118011,0.5245419333277633,0.6041666666666666,64,20,41,67,34,50,33,75
Video36,192,192,0,0,0.7239583333333334,0.7239583333333334,0.5572916666666666,0.7281553398058253,0.75,0.7389162561576353,0.7191011235955056,0.6956521739130435,0.7071823204419889,0.6,0.45,0.5142857142857143,0.5299145299145299,0.6739130434782609,0.5933014354066987,0.43086343129361165,0.5691365765960654,0.7444894177218279,0.4889788275539786,0.65625,75,25,28,64,45,55,30,62
Video37,192,192,0,0,0.640625,0.640625,0.5520833333333334,0.6435643564356436,0.6632653061224489,0.6532663316582915,0.6373626373626373,0.6170212765957447,0.627027027027027,0.581081081081081,0.4387755102040816,0.5,0.5338983050847458,0.6702127659574468,0.5943396226415094,0.4133438849673136,0.5866561203923387,0.7606341152762374,0.5212682251928223,0.671875,65,33,36,58,43,55,31,63
Video38,192,192,0,0,0.703125,0.703125,0.6302083333333334,0.6483516483516484,0.7023809523809523,0.6742857142857142,0.7524752475247525,0.7037037037037037,0.7272727272727274,0.6031746031746031,0.4523809523809524,0.5170068027210885,0.6434108527131783,0.7685185185185185,0.70042194092827,0.3847031209477336,0.6152968866420755,0.7797348685562611,0.559469729522713,0.65625,59,25,32,76,38,46,25,83
Video39,192,192,0,0,0.640625,0.640625,0.5208333333333334,0.638095238095238,0.6836734693877551,0.6600985221674877,0.6436781609195402,0.5957446808510638,0.6187845303867403,0.5483870967741935,0.3469387755102041,0.425,0.5076923076923077,0.7021276595744681,0.5892857142857143,0.399895266198295,0.6001047435371826,0.7580100074410439,0.5160200051466101,0.6510416666666666,67,31,38,56,34,64,28,66
Video40,192,192,0,0,0.6927083333333334,0.6927083333333334,0.5520833333333334,0.6854838709677419,0.8095238095238095,0.74235807860262,0.7058823529411765,0.5517241379310345,0.6193548387096774,0.6266666666666667,0.44761904761904764,0.5222222222222223,0.5042735042735043,0.6781609195402298,0.5784313725490196,0.4200355577568378,0.5799644504877506,0.757312306513389,0.5146246047821895,0.578125,85,20,39,48,47,58,28,59
Video41,192,192,0,0,0.59375,0.59375,0.5572916666666666,0.5523809523809524,0.651685393258427,0.597938144329897,0.6436781609195402,0.5436893203883495,0.5894736842105264,0.53125,0.38202247191011235,0.44444444444444436,0.5703125,0.7087378640776699,0.632034632034632,0.39672392622164426,0.6032760810145797,0.7715608372042576,0.5431216671722913,0.6302083333333334,58,31,47,56,34,55,30,73
Video42,192,192,0,0,0.6458333333333334,0.6458333333333334,0.5989583333333334,0.65,0.6632653061224489,0.6565656565656566,0.6413043478260869,0.6276595744680851,0.6344086021505376,0.6779661016949152,0.40816326530612246,0.5095541401273885,0.5639097744360902,0.7978723404255319,0.6607929515418501,0.37493369742787763,0.6250663142491248,0.7492411856849989,0.4984823596929952,0.6927083333333334,65,33,35,59,40,58,19,75
Video43,192,192,0,0,0.6770833333333334,0.6770833333333334,0.578125,0.696,0.7837837837837838,0.7372881355932204,0.6417910447761194,0.5308641975308642,0.5810810810810811,0.7142857142857143,0.45045045045045046,0.5524861878453039,0.5,0.7530864197530864,0.6009852216748769,0.41153135387939227,0.5884686546936185,0.7630830649286509,0.526166121284291,0.6302083333333334,87,24,38,43,50,61,20,61
Video44,192,192,0,0,0.734375,0.734375,0.5729166666666666,0.72,0.7578947368421053,0.7384615384615385,0.75,0.711340206185567,0.7301587301587301,0.5970149253731343,0.42105263157894735,0.4938271604938272,0.56,0.7216494845360825,0.6306306306306305,0.39048851215187597,0.6095114890607268,0.7934642052277923,0.5869284092429817,0.6927083333333334,72,23,28,69,40,55,27,70
Video45,192,192,0,0,0.6927083333333334,0.6927083333333334,0.546875,0.6869565217391305,0.7745098039215687,0.7281105990783411,0.7012987012987013,0.6,0.6467065868263472,0.5974025974025974,0.45098039215686275,0.5139664804469274,0.5130434782608696,0.6555555555555556,0.575609756097561,0.43948733783408517,0.5605126669203552,0.7823346328611175,0.5646692609677947,0.65625,79,23,36,54,46,56,31,59
Video46,192,192,0,0,0.6510416666666666,0.6510416666666666,0.5677083333333334,0.6568627450980392,0.6767676767676768,0.6666666666666667,0.6444444444444445,0.6236559139784946,0.6338797814207651,0.6290322580645161,0.3939393939393939,0.48447204968944096,0.5384615384615384,0.7526881720430108,0.6278026905829596,0.38560166591035266,0.6143983431199255,0.7756118075922132,0.5512236061541481,0.65625,67,32,35,58,39,60,23,70
Video47,192,192,0,0,0.6770833333333334,0.6770833333333334,0.5885416666666666,0.6396396396396397,0.7634408602150538,0.696078431372549,0.7283950617283951,0.5959595959595959,0.6555555555555554,0.6029411764705882,0.44086021505376344,0.5093167701863355,0.5806451612903226,0.7272727272727273,0.6457399103139013,0.3988473841014108,0.6011526237256627,0.7765882083525261,0.5531764088779786,0.609375,71,22,40,59,41,52,27,72
Video48,192,192,0,0,0.7135416666666666,0.7135416666666666,0.6302083333333334,0.6509433962264151,0.7931034482758621,0.7150259067357512,0.7906976744186046,0.6476190476190476,0.7120418848167539,0.6052631578947368,0.5287356321839081,0.5644171779141105,0.646551724137931,0.7142857142857143,0.6787330316742081,0.4320855539071336,0.5679144573614394,0.7728936787073811,0.5457873461461892,0.6979166666666666,69,18,37,68,46,41,30,75
Video49,192,192,0,0,0.6197916666666666,0.6197916666666666,0.609375,0.5862068965517241,0.5795454545454546,0.5828571428571429,0.6476190476190476,0.6538461538461539,0.6507177033492824,0.5970149253731343,0.45454545454545453,0.5161290322580645,0.616,0.7403846153846154,0.6724890829694323,0.41281459828702555,0.5871854078529092,0.7639002362266183,0.5278004663133018,0.7291666666666666,51,37,36,68,40,48,27,77
Video50,192,192,0,0,0.7395833333333334,0.7395833333333334,0.6354166666666666,0.6792452830188679,0.8181818181818182,0.7422680412371134,0.813953488372093,0.6730769230769231,0.736842105263158,0.6363636363636364,0.4772727272727273,0.5454545454545454,0.6349206349206349,0.7692307692307693,0.6956521739130435,0.38459413111849017,0.615405874861608,0.7890390123551091,0.5780780187301199,0.6875,72,16,34,70,42,46,24,80
Video51,192,192,0,0,0.7552083333333334,0.7552083333333334,0.546875,0.7169811320754716,0.8172043010752689,0.7638190954773869,0.8023255813953488,0.696969696969697,0.745945945945946,0.55,0.3548387096774194,0.43137254901960786,0.5454545454545454,0.7272727272727273,0.6233766233766234,0.36370372470331347,0.6362962790917663,0.7826503214115897,0.5653006390280998,0.59375,76,17,30,69,33,60,27,72
