video_id,n_samples,valid_predictions,invalid_predictions,empty_raw_outputs,Accuracy,Accuracy_valid_only,Support_0,Predicted_as_0,Precision_0,Recall_0,F1_0,Support_1,Predicted_as_1,Precision_1,Recall_1,F1_1,actual_0_pred_0,actual_0_pred_1,actual_1_pred_0,actual_1_pred_1
Video38,192,192,0,0,0.7135416666666666,0.7135416666666666,84,123,0.6178861788617886,0.9047619047619048,0.7342995169082125,108,69,0.8840579710144928,0.5648148148148148,0.6892655367231638,76,8,47,61
Video39,192,192,0,0,0.7135416666666666,0.7135416666666666,98,133,0.6616541353383458,0.8979591836734694,0.7619047619047619,94,59,0.8305084745762712,0.5212765957446809,0.6405228758169934,88,10,45,49
Video40,192,192,0,0,0.796875,0.796875,105,132,0.75,0.9428571428571428,0.8354430379746834,87,60,0.9,0.6206896551724138,0.7346938775510204,99,6,33,54
Video41,192,192,0,0,0.6458333333333334,0.6458333333333334,89,131,0.5801526717557252,0.8539325842696629,0.6909090909090908,103,61,0.7868852459016393,0.46601941747572817,0.5853658536585367,76,13,55,48
Video42,192,192,0,0,0.7395833333333334,0.7395833333333334,98,114,0.7105263157894737,0.826530612244898,0.7641509433962264,94,78,0.782051282051282,0.648936170212766,0.7093023255813954,81,17,33,61
Video43,192,192,0,0,0.734375,0.734375,111,156,0.6923076923076923,0.972972972972973,0.8089887640449438,81,36,0.9166666666666666,0.4074074074074074,0.5641025641025641,108,3,48,33
Video44,192,192,0,0,0.7447916666666666,0.7447916666666666,95,136,0.6691176470588235,0.9578947368421052,0.7878787878787878,97,56,0.9285714285714286,0.5360824742268041,0.6797385620915032,91,4,45,52
Video45,192,192,0,0,0.7708333333333334,0.7708333333333334,102,138,0.7101449275362319,0.9607843137254902,0.8166666666666667,90,54,0.9259259259259259,0.5555555555555556,0.6944444444444444,98,4,40,50
Video46,192,192,0,0,0.75,0.75,99,127,0.7007874015748031,0.898989898989899,0.7876106194690267,93,65,0.8461538461538461,0.5913978494623656,0.6962025316455697,89,10,38,55
Video47,192,192,0,0,0.7083333333333334,0.7083333333333334,93,135,0.6370370370370371,0.9247311827956989,0.7543859649122808,99,57,0.8771929824561403,0.5050505050505051,0.641025641025641,86,7,49,50
Video48,192,192,0,0,0.734375,0.734375,87,124,0.6451612903225806,0.9195402298850575,0.7582938388625592,105,68,0.8970588235294118,0.580952380952381,0.7052023121387283,80,7,44,61
Video49,192,192,0,0,0.734375,0.734375,88,125,0.648,0.9204545454545454,0.7605633802816901,104,67,0.8955223880597015,0.5769230769230769,0.7017543859649121,81,7,44,60
Video50,192,192,0,0,0.8697916666666666,0.8697916666666666,88,97,0.8247422680412371,0.9090909090909091,0.8648648648648649,104,95,0.9157894736842105,0.8365384615384616,0.8743718592964824,80,8,17,87
Video51,192,192,0,0,0.7708333333333334,0.7708333333333334,93,121,0.7024793388429752,0.9139784946236559,0.7943925233644861,99,71,0.8873239436619719,0.6363636363636364,0.7411764705882353,85,8,36,63
Video52,192,192,0,0,0.6979166666666666,0.6979166666666666,95,143,0.6293706293706294,0.9473684210526315,0.7563025210084032,97,49,0.8979591836734694,0.4536082474226804,0.6027397260273972,90,5,53,44
Video53,192,192,0,0,0.765625,0.765625,99,134,0.7014925373134329,0.9494949494949495,0.8068669527896997,93,58,0.9137931034482759,0.5698924731182796,0.7019867549668874,94,5,40,53
